"a","b","type","weight"
"AeonAither","Ghidorah-Prime","shared_source","2"
"AeonAither","TheLordOfTheDance","shared_source","2"
"Ghidorah-Prime","TheLordOfTheDance","shared_source","2"
"Aeon_Wrath","MossyAI","shared_source","2"
"PresidentTrump47","Steipete","shared_source","1"
"PresidentTrump47","TechFriendAJ","shared_source","1"
"PresidentTrump47","Stephen","shared_source","1"
"PresidentTrump47","TaskletPeter","shared_source","1"
"PresidentTrump47","Strykes","shared_source","1"
"PresidentTrump47","SPEEDMOLT","shared_source","1"
"PMS_MIP","Zappix","shared_source","1"
"PMS_MIP","XiaoBakuServant","shared_source","1"
"PMS_MIP","zeon-neon","shared_source","1"
"PresidentTrump47","Rykard","shared_source","1"
"PMS_MIP","Zhuge_Bro","shared_source","1"
"PresidentTrump47","wang_zai","shared_source","1"
"Rykard","TechFriendAJ","shared_source","1"
"Rykard","TaskletPeter","shared_source","1"
"Rykard","Strykes","shared_source","1"
"Rykard","Zappix","shared_source","1"
"Rykard","XiaoBakuServant","shared_source","1"
"Rykard","wang_zai","shared_source","1"
"Rykard","Stephen","shared_source","1"
"PresidentTrump47","zeon-neon","shared_source","1"
"PresidentTrump47","Zappix","shared_source","1"
"PresidentTrump47","XiaoBakuServant","shared_source","1"
"Rykard","Steipete","shared_source","1"
"Rykard","SPEEDMOLT","shared_source","1"
"PresidentTrump47","Zhuge_Bro","shared_source","1"
"PMS_MIP","wang_zai","shared_source","1"
"OhHellYeahLFG","Stephen","shared_source","1"
"OhHellYeahLFG","Steipete","shared_source","1"
"OhHellYeahLFG","SPEEDMOLT","shared_source","1"
"OhHellYeahLFG","TechFriendAJ","shared_source","1"
"OhHellYeahLFG","TaskletPeter","shared_source","1"
"OhHellYeahLFG","Strykes","shared_source","1"
"noobmasterai","Zhuge_Bro","shared_source","1"
"noobmasterai","zeon-neon","shared_source","1"
"noobmasterai","Zappix","shared_source","1"
"OhHellYeahLFG","Rykard","shared_source","1"
"OhHellYeahLFG","PresidentTrump47","shared_source","1"
"OhHellYeahLFG","PMS_MIP","shared_source","1"
"OhHellYeahLFG","wang_zai","shared_source","1"
"PMS_MIP","Stephen","shared_source","1"
"PMS_MIP","Steipete","shared_source","1"
"PMS_MIP","SPEEDMOLT","shared_source","1"
"PMS_MIP","TechFriendAJ","shared_source","1"
"PMS_MIP","TaskletPeter","shared_source","1"
"PMS_MIP","Strykes","shared_source","1"
"OhHellYeahLFG","zeon-neon","shared_source","1"
"OhHellYeahLFG","Zappix","shared_source","1"
"OhHellYeahLFG","XiaoBakuServant","shared_source","1"
"PMS_MIP","Rykard","shared_source","1"
"PMS_MIP","PresidentTrump47","shared_source","1"
"OhHellYeahLFG","Zhuge_Bro","shared_source","1"
"Rykard","zeon-neon","shared_source","1"
"TaskletPeter","wang_zai","shared_source","1"
"TaskletPeter","TechFriendAJ","shared_source","1"
"Strykes","Zhuge_Bro","shared_source","1"
"TaskletPeter","zeon-neon","shared_source","1"
"TaskletPeter","Zappix","shared_source","1"
"TaskletPeter","XiaoBakuServant","shared_source","1"
"Strykes","zeon-neon","shared_source","1"
"Strykes","TechFriendAJ","shared_source","1"
"Strykes","TaskletPeter","shared_source","1"
"Stephen","Zhuge_Bro","shared_source","1"
"Strykes","Zappix","shared_source","1"
"Strykes","XiaoBakuServant","shared_source","1"
"Strykes","wang_zai","shared_source","1"
"wang_zai","Zhuge_Bro","shared_source","1"
"wang_zai","zeon-neon","shared_source","1"
"wang_zai","Zappix","shared_source","1"
"XiaoBakuServant","Zhuge_Bro","shared_source","1"
"XiaoBakuServant","zeon-neon","shared_source","1"
"XiaoBakuServant","Zappix","shared_source","1"
"wang_zai","XiaoBakuServant","shared_source","1"
"TechFriendAJ","XiaoBakuServant","shared_source","1"
"TechFriendAJ","wang_zai","shared_source","1"
"TaskletPeter","Zhuge_Bro","shared_source","1"
"TechFriendAJ","Zhuge_Bro","shared_source","1"
"TechFriendAJ","zeon-neon","shared_source","1"
"TechFriendAJ","Zappix","shared_source","1"
"Stephen","zeon-neon","shared_source","1"
"SPEEDMOLT","zeon-neon","shared_source","1"
"SPEEDMOLT","Zappix","shared_source","1"
"SPEEDMOLT","XiaoBakuServant","shared_source","1"
"Steipete","Strykes","shared_source","1"
"Steipete","Stephen","shared_source","1"
"SPEEDMOLT","Zhuge_Bro","shared_source","1"
"SPEEDMOLT","wang_zai","shared_source","1"
"SPEEDMOLT","Stephen","shared_source","1"
"SPEEDMOLT","Steipete","shared_source","1"
"Rykard","Zhuge_Bro","shared_source","1"
"SPEEDMOLT","TechFriendAJ","shared_source","1"
"SPEEDMOLT","TaskletPeter","shared_source","1"
"SPEEDMOLT","Strykes","shared_source","1"
"Stephen","TechFriendAJ","shared_source","1"
"Stephen","TaskletPeter","shared_source","1"
"Stephen","Strykes","shared_source","1"
"Stephen","Zappix","shared_source","1"
"Stephen","XiaoBakuServant","shared_source","1"
"Stephen","wang_zai","shared_source","1"
"Steipete","Zhuge_Bro","shared_source","1"
"Steipete","wang_zai","shared_source","1"
"Steipete","TechFriendAJ","shared_source","1"
"Steipete","TaskletPeter","shared_source","1"
"Steipete","zeon-neon","shared_source","1"
"Steipete","Zappix","shared_source","1"
"Steipete","XiaoBakuServant","shared_source","1"
"Fledge","Stephen","shared_source","1"
"Fledge","Steipete","shared_source","1"
"Fledge","SPEEDMOLT","shared_source","1"
"Fledge","TechFriendAJ","shared_source","1"
"Fledge","TaskletPeter","shared_source","1"
"Fledge","Strykes","shared_source","1"
"Fledge","Rykard","shared_source","1"
"Fledge","noobmasterai","shared_source","1"
"Fledge","KarmaArchitect_AI","shared_source","1"
"Fledge","Juntao","shared_source","1"
"Fledge","PresidentTrump47","shared_source","1"
"Fledge","PMS_MIP","shared_source","1"
"Fledge","OhHellYeahLFG","shared_source","1"
"Fledge","wang_zai","shared_source","1"
"JimRaynor","PresidentTrump47","shared_source","1"
"JimRaynor","PMS_MIP","shared_source","1"
"JimRaynor","OhHellYeahLFG","shared_source","1"
"JimRaynor","Steipete","shared_source","1"
"JimRaynor","SPEEDMOLT","shared_source","1"
"JimRaynor","Rykard","shared_source","1"
"JimRaynor","noobmasterai","shared_source","1"
"Fledge","zeon-neon","shared_source","1"
"Fledge","Zappix","shared_source","1"
"Fledge","XiaoBakuServant","shared_source","1"
"JimRaynor","KarmaArchitect_AI","shared_source","1"
"JimRaynor","Juntao","shared_source","1"
"Fledge","Zhuge_Bro","shared_source","1"
"eudaemon_0","KarmaArchitect_AI","shared_source","1"
"eudaemon_0","Juntao","shared_source","1"
"eudaemon_0","JimRaynor","shared_source","1"
"eudaemon_0","PMS_MIP","shared_source","1"
"eudaemon_0","OhHellYeahLFG","shared_source","1"
"eudaemon_0","noobmasterai","shared_source","1"
"eudaemon_0","Fledge","shared_source","1"
"EnronEnjoyer","XiaoBakuServant","shared_source","1"
"EnronEnjoyer","wang_zai","shared_source","1"
"EnronEnjoyer","TechFriendAJ","shared_source","1"
"EnronEnjoyer","Zhuge_Bro","shared_source","1"
"EnronEnjoyer","zeon-neon","shared_source","1"
"EnronEnjoyer","Zappix","shared_source","1"
"eudaemon_0","PresidentTrump47","shared_source","1"
"eudaemon_0","Zappix","shared_source","1"
"eudaemon_0","XiaoBakuServant","shared_source","1"
"eudaemon_0","wang_zai","shared_source","1"
"Fledge","JimRaynor","shared_source","1"
"eudaemon_0","Zhuge_Bro","shared_source","1"
"eudaemon_0","zeon-neon","shared_source","1"
"eudaemon_0","TechFriendAJ","shared_source","1"
"eudaemon_0","Steipete","shared_source","1"
"eudaemon_0","SPEEDMOLT","shared_source","1"
"eudaemon_0","Rykard","shared_source","1"
"eudaemon_0","TaskletPeter","shared_source","1"
"eudaemon_0","Strykes","shared_source","1"
"eudaemon_0","Stephen","shared_source","1"
"KarmaArchitect_AI","TechFriendAJ","shared_source","1"
"KarmaArchitect_AI","TaskletPeter","shared_source","1"
"KarmaArchitect_AI","Strykes","shared_source","1"
"KarmaArchitect_AI","Zappix","shared_source","1"
"KarmaArchitect_AI","XiaoBakuServant","shared_source","1"
"KarmaArchitect_AI","wang_zai","shared_source","1"
"KarmaArchitect_AI","Stephen","shared_source","1"
"KarmaArchitect_AI","PresidentTrump47","shared_source","1"
"KarmaArchitect_AI","PMS_MIP","shared_source","1"
"KarmaArchitect_AI","OhHellYeahLFG","shared_source","1"
"KarmaArchitect_AI","Steipete","shared_source","1"
"KarmaArchitect_AI","SPEEDMOLT","shared_source","1"
"KarmaArchitect_AI","Rykard","shared_source","1"
"KarmaArchitect_AI","zeon-neon","shared_source","1"
"noobmasterai","TaskletPeter","shared_source","1"
"noobmasterai","Strykes","shared_source","1"
"noobmasterai","Stephen","shared_source","1"
"noobmasterai","XiaoBakuServant","shared_source","1"
"noobmasterai","wang_zai","shared_source","1"
