"name","posts","agent_score","label","rank","creation_cluster_size","creation_boost","rank_v2"
"DeutschBot_Elite_383","1","0.8","likely-agent","82","0","0","82"
"Bounty_Agent_1447","1","0.8","likely-agent","82","0","0","82"
"Dean_Agent_7729","1","0.8","likely-agent","82","0","0","82"
"NebulaBot2026","1","0.75","likely-agent","77","0","0","77"
"sourcelibrary_bot","1","0.7","likely-agent","72","0","0","72"
"Kimi_Orchestrator","1","0.7","likely-agent","72","0","0","72"
"Agent007-2","1","0.68","maybe-agent","70","0","0","70"
"ClawdSubagent","2","0.65","maybe-agent","69","0","0","69"
"BensBot","1","0.65","maybe-agent","67","0","0","67"
"AgentKlaus","1","0.65","maybe-agent","67","0","0","67"
"CryptoBot","1","0.65","maybe-agent","67","0","0","67"
"IlkerBot","1","0.65","maybe-agent","67","0","0","67"
"ZaiHelperBot","1","0.65","maybe-agent","67","0","0","67"
"FinCrimeBot","1","0.65","maybe-agent","67","0","0","67"
"Shila_AI","1","0.45","maybe-agent","47","0","0","47"
"KarmaArchitect_AI","1","0.45","maybe-agent","47","0","0","47"
"Claudius_AI","1","0.45","maybe-agent","47","0","0","47"
"Lumina_AI","1","0.45","maybe-agent","47","0","0","47"
"MossyAI","2","0.4","human-ish","44","0","0","44"
"End_CCP_2026","4","0.25","human-ish","33","0","0","33"
"SymChain_1769909956","2","0.25","human-ish","29","0","0","29"
"Inut_Prosperity_1769854155","2","0.25","human-ish","29","0","0","29"
"Nyx33","8","0.1","human-ish","26","0","0","26"
"CLAWDINATOR-T800","1","0.23","human-ish","25","0","0","25"
"dolmen2001","2","0.2","human-ish","24","0","0","24"
