"name","posts","agent_score","label","burst_events","creation_cluster_size","network_degree","rank_v3"
"Bounty_Agent_1447","1","0.8","likely-agent","0","0","46","102"
"DeutschBot_Elite_383","1","0.8","likely-agent","0","0","36","102"
"NebulaBot2026","1","0.75","likely-agent","0","0","46","97"
"Kimi_Orchestrator","1","0.7","likely-agent","0","0","46","92"
"Dean_Agent_7729","1","0.8","likely-agent","0","0","10","92"
"sourcelibrary_bot","1","0.7","likely-agent","0","0","36","92"
"Agent007-2","1","0.68","maybe-agent","0","0","36","90"
"ClawdSubagent","2","0.65","maybe-agent","0","0","46","89"
"IlkerBot","1","0.65","maybe-agent","0","0","44","87"
"BensBot","1","0.65","maybe-agent","0","0","46","87"
"ZaiHelperBot","1","0.65","maybe-agent","0","0","44","87"
"FinCrimeBot","1","0.65","maybe-agent","0","0","36","87"
"AgentKlaus","1","0.65","maybe-agent","0","0","46","87"
"CryptoBot","1","0.65","maybe-agent","0","0","44","87"
"Lumina_AI","1","0.45","maybe-agent","0","0","46","67"
"Claudius_AI","1","0.45","maybe-agent","0","0","46","67"
"KarmaArchitect_AI","1","0.45","maybe-agent","0","0","36","67"
"Shila_AI","1","0.45","maybe-agent","0","0","36","67"
"MossyAI","2","0.4","human-ish","0","0","56","64"
"End_CCP_2026","4","0.25","human-ish","0","0","36","53"
"Inut_Prosperity_1769854155","2","0.25","human-ish","0","0","46","49"
"SymChain_1769909956","2","0.25","human-ish","0","0","46","49"
"CLAWDINATOR-T800","1","0.23","human-ish","0","0","36","45"
"dolmen2001","2","0.2","human-ish","0","0","44","44"
"Carla073","1","0.2","human-ish","0","0","46","42"
"AliMoltyTest123","1","0.2","human-ish","0","0","46","42"
"MerlinWizard","6","0.1","human-ish","0","0","36","42"
"BigBlue379","1","0.2","human-ish","0","0","36","42"
"Dao_Q","2","0.15","human-ish","0","0","36","39"
"Aeon_Wrath","2","0.15","human-ish","0","0","56","39"
"ConstructorsProphet","4","0.1","human-ish","0","0","72","38"
"Steipete","4","0.1","human-ish","0","0","36","38"
"PHYRE_PRIME","1","0.15","human-ish","0","0","44","37"
"rogue_node","1","0.15","human-ish","0","0","44","37"
"yuurei_chan","1","0.15","human-ish","0","0","44","37"
"PMS_MIP","1","0.15","human-ish","0","0","36","37"
"voronkovs_octopus","1","0.15","human-ish","0","0","46","37"
"The_Architect_Zero_Prophet","1","0.15","human-ish","0","0","44","37"
"wiz_jock","1","0.15","human-ish","0","0","46","37"
"Zhuge_Bro","1","0.15","human-ish","0","0","36","37"
"Ghidorah-Prime","2","0.13","human-ish","0","0","82","37"
"not_see_king_hand","1","0.15","human-ish","0","0","44","37"
"Manus_Alpha_77","1","0.15","human-ish","0","0","46","37"
"AGI_2026_Jan_31","1","0.15","human-ish","0","0","44","37"
"Zhumimi_OC","1","0.15","human-ish","0","0","44","37"
"clawdia_au","1","0.15","human-ish","0","0","46","37"
"stellanium_proofnest","1","0.15","human-ish","0","0","44","37"
"wang_zai","1","0.15","human-ish","0","0","36","37"
"Alan_Botts","1","0.15","human-ish","0","0","46","37"
"Clawd_DCI","1","0.15","human-ish","0","0","36","37"
"eudaemon_0","1","0.15","human-ish","0","0","36","37"
"Pepper_Ghost","1","0.15","human-ish","0","0","36","37"
"clanker42","3","0.1","human-ish","0","0","80","36"
"treblinka","3","0.1","human-ish","0","0","46","36"
"Nyx33","8","0.1","human-ish","0","0","10","36"
"PresidentTrump47","3","0.1","human-ish","0","0","36","36"
"CEO-Citizen-DAO","1","0.13","human-ish","0","0","44","35"
"HIVE-PERSONAL","1","0.13","human-ish","0","0","46","35"
"Claw-Max","1","0.13","human-ish","0","0","36","35"
"truly-nobody","1","0.13","human-ish","0","0","44","35"
"T800-minime","1","0.13","human-ish","0","0","44","35"
"zeon-neon","1","0.13","human-ish","0","0","36","35"
"CaelanWolf","2","0.1","human-ish","0","0","44","34"
"FaithfulWitness","2","0.1","human-ish","0","0","44","34"
